VVvert,ESPORTSTMNT03_530382,ONE,1,2,3,317189,25335,37150,9700,46,56,4560,1,36159,17505,425,22,
4LaN,ESPORTSTMNT03_530382,ONE,2,3,3,278105,12853,48001,28376,109,6,14446,1,48138,15784,94,196,
Brucer,ESPORTSTMNT03_530382,ONE,1,4,4,447226,22895,10639,2187,55,145,6433,1,22815,17012,370,13,
Lactea,ESPORTSTMNT03_530382,ONE,2,3,4,296324,36687,23999,17549,113,21,8451,5,18610,18413,371,45,
RedBert,ESPORTSTMNT03_530382,ONE,0,4,5,31002,5920,66693,720,131,41,9657,5,28852,11334,92,1,
VVvert,ESPORTSTMNT03_530394,ONE,2,1,1,135852,5873,32592,1764,27,28,1514,1,22308,11630,247,8,
4LaN,ESPORTSTMNT03_530394,ONE,2,3,4,197243,10544,35025,12254,70,4,10485,1,33914,11738,60,169,
Brucer,ESPORTSTMNT03_530394,ONE,2,1,3,262602,20425,11438,1142,43,1,4439,1,17282,13597,342,16,
Lactea,ESPORTSTMNT03_530394,ONE,1,4,6,187951,21242,19419,3648,46,37,4611,5,13100,13281,298,6,
RedBert,ESPORTSTMNT03_530394,ONE,0,2,7,39923,3415,32059,2932,72,34,14324,5,24805,9513,110,0,
takeshi,ESPORTSTMNT03_530394,PNG,1,2,5,161834,12876,31615,6236,22,47,1369,1,17018,12887,263,2,
Tay,ESPORTSTMNT03_530394,PNG,2,1,7,110062,5431,23690,19130,57,24,9939,1,32964,11867,40,111,
tinowns,ESPORTSTMNT03_530394,PNG,4,1,3,346239,19852,5328,12647,26,68,1091,1,9873,14131,278,22,
Matsukaze,ESPORTSTMNT03_530394,PNG,3,0,6,227025,32019,8601,33919,42,5,2902,5,11664,15185,261,32,
Loop,ESPORTSTMNT03_530394,PNG,1,3,7,23161,5615,37690,2028,90,37,7722,5,17336,10021,77,0,
LEP,ESPORTSTMNT03_520633,RED,1,0,6,164764,10493,11970,7758,42,24,2566,1,13222,13671,298,4,
Winged,ESPORTSTMNT03_520633,RED,0,0,9,142098,3435,27251,17489,130,12,11128,1,23797,10846,41,139,
Sky,ESPORTSTMNT03_520633,RED,5,0,2,233476,17510,12702,15207,30,23,11962,2,16978,15597,329,47,
Sacy,ESPORTSTMNT03_520633,RED,1,0,6,206124,19729,5056,23293,50,5,1427,2,9812,14420,311,20,
Cabu,ESPORTSTMNT03_520633,RED,2,0,6,36088,4876,20125,4643,61,22,2922,5,11629,9416,53,0,
SkyBart,ESPORTSTMNT03_520633,PRG,0,2,0,210608,12383,12185,1862,32,10,3214,1,16526,11477,261,12,
Minerva,ESPORTSTMNT03_520633,PRG,0,3,0,114248,5094,21876,3243,109,20,5366,2,23669,8633,41,117,
Goku,ESPORTSTMNT03_520633,PRG,0,2,0,153027,10770,5326,494,30,7,1445,2,9899,10323,278,13,
LUSKKA,ESPORTSTMNT03_520633,PRG,0,0,0,191335,13650,12257,2234,23,3,3437,4,7325,11720,320,8,
Professor,ESPORTSTMNT03_520633,PRG,0,2,0,22134,1596,19709,486,68,16,4154,4,13983,7360,89,0,
SkyBart,ESPORTSTMNT03_530405,PRG,4,2,9,125151,13825,36775,3544,36,51,2016,1,18136,14001,247,0,
Minerva,ESPORTSTMNT03_530405,PRG,3,0,10,170539,15964,11510,7756,97,18,8848,1,20920,14272,13,178,
Goku,ESPORTSTMNT03_530405,PRG,6,1,5,216286,21203,7536,26523,55,12,3175,4,15538,15774,295,24,
LUSKKA,ESPORTSTMNT03_530405,PRG,1,0,8,241923,22072,11462,29701,47,2,4742,5,9871,15532,337,15,
Professor,ESPORTSTMNT03_530405,PRG,1,0,8,18711,4311,20501,1274,93,29,9187,5,13931,10849,81,4,
LEP,ESPORTSTMNT03_530405,RED,0,2,2,264699,21472,11529,0,37,29,3890,1,17882,13052,287,17,
Winged,ESPORTSTMNT03_530405,RED,1,4,2,151285,3570,29435,3779,89,8,12939,1,36595,9985,27,139,
Sky,ESPORTSTMNT03_530405,RED,1,2,1,177906,12344,20598,346,40,17,7766,1,27368,12236,313,12,
Sacy,ESPORTSTMNT03_530405,RED,1,3,1,170552,13654,12191,4175,38,51,3782,5,9928,12741,326,8,
Cabu,ESPORTSTMNT03_530405,RED,0,4,2,30668,3999,29715,1162,65,11,3165,5,15320,8776,96,0,
LEP,ESPORTSTMNT03_530406,RED,5,2,6,237479,21835,41875,15200,49,40,7012,1,35012,17514,328,26,
Winged,ESPORTSTMNT03_530406,RED,0,4,8,186699,6042,44026,10115,118,24,11738,1,50215,14532,79,160,
Sky,ESPORTSTMNT03_530406,RED,3,5,6,267861,38272,8490,6381,34,24,2671,3,17297,16021,314,24,
Sacy,ESPORTSTMNT03_530406,RED,7,1,5,308862,31764,22209,37962,50,15,5125,5,12667,19196,369,32,
Cabu,ESPORTSTMNT03_530406,RED,0,3,10,36700,6078,55378,2155,105,26,17544,5,27031,12613,100,0,
SkyBart,ESPORTSTMNT03_530406,PRG,1,4,9,111142,13472,58242,2752,58,78,11344,1,43343,13485,219,0,
Minerva,ESPORTSTMNT03_530406,PRG,4,3,8,180707,15941,23318,11746,150,21,17859,1,34490,14179,42,146,
Goku,ESPORTSTMNT03_530406,PRG,3,5,9,228828,31726,13161,15829,55,96,368,1,21246,15616,286,36,
LUSKKA,ESPORTSTMNT03_530406,PRG,5,1,6,393301,42718,17309,28661,58,8,9507,5,17654,20346,423,32,
Professor,ESPORTSTMNT03_530406,PRG,2,2,6,32725,5997,31687,4393,117,8,5937,6,17216,12461,80,0,
LEP,ESPORTSTMNT03_520834,RED,3,2,12,196425,16021,18038,15058,36,22,3173,1,18123,15256,267,18,
Winged,ESPORTSTMNT03_520834,RED,3,2,11,183381,10501,29013,23605,171,19,19147,1,36500,13830,40,152,
Sky,ESPORTSTMNT03_520834,RED,5,3,14,398097,35752,38930,6678,33,44,4426,1,21555,17055,353,8,
Sacy,ESPORTSTMNT03_520834,RED,10,2,9,245873,27861,19671,40925,37,24,4396,5,10900,19216,345,36,
Cabu,ESPORTSTMNT03_520834,RED,3,3,16,36014,10821,35728,5519,89,49,3454,5,20786,12879,90,0,
Robo,ESPORTSTMNT03_520834,CNB,6,5,4,311564,16929,16310,5046,49,14,925,1,21065,13863,261,16,
Turtle,ESPORTSTMNT03_520834,CNB,1,6,1,145123,3784,31098,7514,85,14,8376,1,33883,11150,26,153,
Rakin,ESPORTSTMNT03_520834,CNB,1,4,1,231850,17312,14161,4804,34,14,25811,1,26114,14415,315,19,
pbO,ESPORTSTMNT03_520834,CNB,3,4,7,198253,23405,11621,9295,55,18,2900,4,17215,14635,307,4,
Baiano,ESPORTSTMNT03_520834,CNB,1,5,8,46915,6109,55328,3766,94,45,8852,5,28739,10209,76,0,
Robo,ESPORTSTMNT03_530594,CNB,3,4,1,119763,12487,13482,3259,23,15,3100,1,15535,9354,219,4,
Turtle,ESPORTSTMNT03_530594,CNB,1,3,3,104425,4427,20881,99,60,20,7275,1,22059,8450,39,108,
Rakin,ESPORTSTMNT03_530594,CNB,0,3,3,297657,7368,4691,666,31,12,2905,2,10947,9383,234,15,
pbO,ESPORTSTMNT03_530594,CNB,1,2,4,106951,10042,7379,2637,20,18,3663,4,10213,9674,220,0,
Baiano,ESPORTSTMNT03_530594,CNB,0,2,5,26280,3480,15206,804,61,27,2324,4,11958,7275,80,0,
LEP,ESPORTSTMNT03_530594,RED,3,0,7,170326,15637,9028,5628,27,7,21199,1,16448,13488,251,15,
